Run,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
Best Solutions,"(0.2907, 0.2951)","(0.2923, 0.2935)","(0.293, 0.2928)","(0.302, 0.2839)","(0.3017, 0.2842)","(0.2907, 0.2951)","(0.2911, 0.2947)","(0.3018, 0.2841)","(0.289, 0.2968)","(0.3039, 0.282)"
Runtime (s),5.8686,5.6504,5.678,5.6251,5.7089,5.5573,5.6548,5.6173,5.4876,5.5194
Mean Runtime (s),5.6367,,,,,,,,,
Standard Deviation of Runtime (s),0.102,,,,,,,,,
,,,,,,,,,,
